	A03112	U Distrital	University Distrital Francesco Jose de Caldas, Colombia
	A03113	EAFIT U	EAFIT University, Medillin, Colombia
	A03114	TU Santander	Technical University of Santander, Colombia
	A03115	Natl U Colombia	National University of Colombia
	A03116	La UPTC	Pedagogical and Technological University of Colombia
	A03117	UPB	Pontifical Bolivarian University, Colombia
	A03118	TU Pereira	Technical University of Pereira, Colombia
	A03119	Pont Cath U Chile	Pontifical Catholic University of Chile
A03119	A06172	MAS	Millennium Institute of Astrophysics, Chile
A03119	A11710	Dep Ast Astrop	Pontifical Catholic University of Chile, Department of Astronomy and Astrophysics
	A03120	U Adolfo Ibanez	University Adolfo Ibanez, Chile
	A03121	U Arturo Prat	University Arturo Prat, Chile
	A03122	U Austral Chile	Austral University of Chile
	A03123	Cath U Most Holy Conc	Catholic University of the Most Holy Concepcion, Chile
	A03124	PUCV	Pontifical Catholic University of Valparaiso, Chile
	A03125	Cath U North	Universidad Catolica del Norte, Chile
	A03126	U Antofagasta	University of Antofagasta, Chile
	A03127	U Atacama	University of Atacama, Chile
	A03128	U Concepcion	University of Concepcion, Chile
A03128	A06172	MAS	Millennium Institute of Astrophysics, Chile
A03128	A11714	Dep Ast	University of Concepcion, Department of Astronomy
A03128	A11715	Dep Phy	University of Concepcion, Department of Physics
	A03129	U La Frontera	University of La Frontera, Chile
	A03130	U La Serena	University of La Serena, Chile
	A03131	U Magallanes	University of Magallanes, Chile
	A03132	U Santiago Chile	University of Santiago of Chile
	A03133	U Talca	University of Talca, Chile
	A03134	U Tarapaca	University of Tarapaca, Chile
	A03135	Valparaiso U Chile	Valparaiso University, Chile
A03135	A11713	Dep Phy Ast	Valparaiso University, Department of Physics and Astronomy
	A03136	UVM Chile	University of Vina del Mar, Chile
	A03137	UMCE	Metropolitan University of Educational Sciences, Chile
	A03138	UNAB	Andres Bello University, Chile
A03138	A06172	MAS	Millennium Institute of Astrophysics, Chile
	A03139	UTFSM	Technical University Federico Santa Maria, Chile
	A03140	UNIFEI	Federal University of Itajuba, Brazil
A03140	A11718	CRAAM	Center for Radio Astronomy and Astrophysics
	A03141	UFPB	Federal University of Paraiba, Brazil
	A03142	IME Brazil	IME Instituto Militar de Engenharia, Brazil
	A03143	PUC-Rio	Pontifical Catholic University of Rio de Janeiro, Brazil
	A03144	PUCPR	Pontifical Catholic University of Parana, Brazil
	A03145	PUC CAMPINAS	Pontifical Catholic University of Campinas, Brazil
	A03146	PUCRS	Pontifical Catholic University of Rio Grande do Sul, Brazil
	A03147	PUC-SP	Catholic University of Sao Paulo, Brazil
	A03148	UNIFESP	Sao Paulo Federal University, Brazil
	A03149	UCB Brazil	Catholic University of Brasilia, Brazil
	A03150	UNICAP	Catholic University of Pernambuco, Brazil
	A03151	UNESP	State University of Paulista Julio de Mesquita Filho, Brazil
A03151	A03152	Inst Phy	UNESP, Institute of Physics
	A03153	UFF	Fluminense Federal University, Brazil
	A03154	UFBA	Federal University of Bahia, Brazil
	A03155	UFAL	Federal University of Alagoas, Brazil
	A03156	UFJF	Federal University of Juiz de Fora, Brazil
	A03157	UFMG	Federal University of Minas Gerais, Brazil
	A03158	UFOP	Federal University of Ouro Preto, Brazil
	A03159	UFPE	Federal University of Pernambuco, Brazil
	A03160	UFSC	Federal University of Santa Catarina, Brazil
	A03161	UFSM	Federal University of Santa Maria, Brazil
	A03162	UFU	Federal University of Uberlandia, Brazil
	A03163	UFV	Federal University of Vicosa, Brazil
	A03164	UFC	Federal University of Ceara, Brazil
	A03165	UFPR	Federal University of Parana, Brazil
	A03166	UFRN	Federal University of Rio Grande of the North, Brazil
A03166	A11722	UFRN Dep Phy	Federal University of Rio Grande of the North, Department of Physics
	A03167	UFRGS	Federal University of Rio Grande of the South, Brazil
A03167	A03168	Inst Phy	Federal University of Rio Grande of the South, Institute of Physics
	A03169	UFRJ	Federal University of Rio de Janeiro, Brazil
A03169	A03170	Inst Phy	Federal University of Rio de Janeiro, Institute of Physics
A03169	A03171	Valongo Obs	Federal University of Rio de Janeiro, Valongo Observatory
	A03172	UFES	Federal University of Espirito Santa, Brazil
	A03173	UnB	University of Brasilia, Brazil
	A03174	UERJ	Rio de Janeiro State University, Brazil
A03174	A11721	Inst Phy	Rio de Janeiro State University, Institute of Physics
	A03175	UNICAMP	University of Campinas, Brazil
A03175	A03176	Inst Phy	University of Campinas, Institute of Physics
A03175	A11719	Dep Ast	University of Campinas, Department of Astronomy
	A03177	USP	University of Sao Paulo, Brazil
A03177	A03178	Inst Phy	University of Sao Paulo, Institute of Physics
A03177	A03179	Inst Ocgy	University of Sao Paulo, Institute of Oceanography
A03177	A03180	IAG	University of Sao Paulo, Institute for Astronomy, Geophysics, and Atmospheric Sciences
A03177	A03181	Poly Sch USP	Polytechnic School of University of Sao Paulo
A03177	A11718	CRAAM	Center for Radio Astronomy and Astrophysics
	A03182	UMSA	Universidad Mayor de San Andres, Bolivia
	A03183	ITBA	Instituto Tecnologico de Buenos Aires, Argentina
	A03184	Austral U	Austral University, Argentina
	A03185	Pont Cath U Arg	Pontifical Catholic University of Argentina
	A03186	UBA	University of Buenos Aires, Argentina
A03186	A04329	CIMA Arg	Research Center for Atmospheric and Sea Sciences, Argentina
A03186	A04336	IAFE BA	Institute of Astronomy and Space Physics, Buenos Aires
A03186	A04337	Arg IAR	Argentine Institute of Radio Astronomy
A03186	A04338	INFIP BA	Institute for Plasma Physics, Buenos Aires
A03186	A11706	Dep Geo Sci	University of Buenos Aires, Argentina, Department of Geological Sciences
A03186	A11707	Dep Phy	University of Buenos Aires, Argentina, Department of Physics
	A03191	U Mendoza	University of Mendoza, Argentina
	A03192	U San Andres	University of San Andres, Argentina
	A03193	UNC Arg	National University of Cordoba, Argentina
A03193	A03195	Fac Math Ast	National University of Cordoba, Faculty of Mathematics and Astronomy
A03193	A03196	Fac Chem Sci	National University of Cordoba, Faculty of Chemical Sciences
A03193	A03198	Ast Obs	National University of Cordoba, Astronomical Observatory
A03193	A04327	CASLEO	El Leoncito Astronomical Complex
A03193	A04332	IATE Cordoba	Theoretical and Experimental Astronomy Institute, Cordoba
	A03199	Natl U Cuyo	National University of Cuyo, Argentina
A03199	A04335	Balseiro Inst	Balseiro Institute, Argentina
	A03201	UNSAM	National University of San Martin, Argentina
A03201	A13042	ITeDA	Institute of Detection and Astroparticle Technologies, Argentina
	A03202	UNGS	National University of General Sarmiento, Argentina
	A03203	UNJU	National University of Jujuy, Argentina
	A03204	UNLPAM	National University of La Pampa, Argentina
A03204	A04334	INCITAP	Astronomical Institute of Earth and Space Sciences, La Pampa
	A03206	UNPSJB	National University of Patagonia, Argentina
	A03207	UNLP	National University of La Plata, Argentina
A03207	A03210	Nat Sci Mus La Plata	Natural Science Museum, La Plata
A03207	A03213	Fac Ast Geop Sci	National University of La Plata, Faculty of Astronomical and Geophysical Sciences
A03207	A04327	CASLEO	El Leoncito Astronomical Complex
A03207	A04330	INIFTA	Instituto de Investigaciones Fisicoquimicas Teoricas y Aplicadas, Argentina
A03207	A04331	Inst Phy La Plata	Institute for Physics, La Plata
A03207	A04333	Inst Ast La Plata	Institute for Astrophysics, La Plata
A03207	A04337	Arg IAR	Argentine Institute of Radio Astronomy
	A03215	UNMdP	National University of Mar del Plata, Argentina
A03215	A13036	IFIMAR	Instituto de Investigaciones Fisicas de Mar del Plata, Argentina
	A03216	UNRC	National University of Rio Cuarto, Argentina
	A03217	UNR	National University of Rosario, Argentina
A03217	A04328	IFIR	Institute of Physics, Rosario
	A03219	UNSa	National University of Salta, Argentina
	A03220	UNSJ	National University of San Juan, Argentina
A03220	A04327	CASLEO	El Leoncito Astronomical Complex
A03220	A11708	Sthrn Obs	Yale Southern Observatory
	A03222	UNSL	National University of San Luis, Argentina
	A03223	UBTREF	National University of Third of February, Argentina
	A03224	UNT	National University of Tucuman, Argentina
	A03225	UNCPBA	National University of Central Buenos Aires, Argentina
	A03226	UNCo	National University of Comahue, Argentina
	A03227	UNL	National University of the Littoral, Argentina
	A03228	UNNE	National University of the Northeast, Argentina
	A03229	UNS	National University of Southern Argentina, Bahia
A03229	A03230	INMABB	Mathematics Institute of Bahia Blanca
	A03231	UTN	National Technical University of Argentina
	A03232	Fraunhofer	Fraunhofer Society of Applied Sciences, Germany
A03232	A03233	IAIS	Fraunhofer Institute for Media Communications, Saint Augustin
A03232	A03234	ITEM	Fraunhofer Institute for Toxicology and Experimental Medicine, Hannover
A03232	A03235	EMFT	Fraunhofer Institute for Modular Solid State Technologies, Munich
A03232	A03236	IFU	Fraunhofer Institute for Atmospheric and Environmental Research
A03232	A03237	SCAI	Fraunhofer Institute for Algorithms and Scientific Computing, Saint Augustin
A03232	A03238	FIT	Fraunhofer Institute for Applied Information Technology, Saint Augustin
A03232	A03239	IOF	Fraunhofer Institute for Applied Optics and Precision Engineering, Jena
A03232	A03240	IAP	Fraunhofer Institute for Applied Polymer Research, Potsdam
A03232	A03241	IAF	Fraunhofer Institute for Applied Solid State Physics, Freiburg
A03232	A03242	IBMT	Fraunhofer Institute for Biomedical Engineering, Saint Ingbert
A03232	A03243	IBP	Fraunhofer Institute for Building Physics, Stuttgart
A03232	A03244	IKTS	Fraunhofer Institute for Ceramic Technologies and Sintered Materials, Dresden
A03232	A03245	ICT	Fraunhofer Institute for Chemical Technology, Berghausen
A03232	A03246	FEP	Fraunhofer Institute for Electron and Plasma Technology, Dresden
A03232	A03247	CNT	Fraunhofer Center for Nanoelectronic Technologies, Dresden
A03232	A03248	EMI	Ernst Mach Institute, Freiburg
A03232	A03249	IAO	Fraunhofer Institute for Industrial Engineering, Stuttgart
A03232	A03250	IOSB	Fraunhofer Institute for Information and Data Processing, Karlsruhe
A03232	A03251	IIS	Fraunhofer Institute for Integrated Circuits, Erlangen
A03232	A03252	IISB	Fraunhofer Institute for Integrated Systems and Device Technology, Erlangen
A03232	A03253	IGB	Fraunhofer Institute for Interfacial Engineering and Biotechnology, Stuttgart
A03232	A03254	ILT	Fraunhofer Institute for Laser Technology, Aachen
A03232	A03255	IFAM	Fraunhofer Institute for Manufacturing Engineering and Applied Materials Research, Bremen
A03232	A03256	IWS	Fraunhofer Institute for Material and Beam Technology, Dresden
A03232	A03257	IWM	Fraunhofer Institute for Mechanics of Materials, Freiburg
A03232	A03258	IMS2	Fraunhofer Institute for Microelectronic Circuits and Systems, Duisburg
A03232	A03259	IZFP	Fraunhofer Institute for Non-Destructive Testing, Saarbrucken
A03232	A03260	FIRST	Fraunhofer Institute for Computer Architecture and Software Technology, Berlin
A03232	A03261	IPMS	Fraunhofer Institute for Photonic Microsystems, Dresden
A03232	A03262	IPM	Fraunhofer Institute for Physical Measurement Techniques, Freiburg
A03232	A03263	IPT	Fraunhofer Institute for Production Technology, Aachen
A03232	A03264	IZM	Fraunhofer Institute for Reliability and Microintegration, Berlin
A03232	A03265	ISC	Fraunhofer Institute for Silicate Research, Wurzburg
A03232	A03266	ISE	Fraunhofer Institute for Solar Energy Systems, Freiburg
A03232	A03268	WKI	Fraunhofer Institute for Wood Research, Braunschweig
A03232	A03269	IWES	Fraunhofer Institute for Wind Energy and Energy System Technology, Bermerhaven
A03232	A03658	HHI	Fraunhofer Heinrich Hertz Institute, Berlin
	A03270	EAWAG	Swiss Federal Institute of Aquatic Science and Technology
	A03271	WSL	Swiss Federal Institute for Forest Snow and Landscape Research
	A03272	EMPA	Swiss Federal Institute for Materials Science and Technology
	A03273	Loyola U Balt	Loyola University, Baltimore, Maryland
	A03274	Pondicherry U	Pondicherry University, India
	A03275	Andhra U	Andhra University, India
	A03276	Osmania U	Osmania University, India
	A03277	CSIR	Council of Scientific and Industrial Research, India
A03277	A03278	CMMCS	CSIR, Centre for Mathematical Modeling and Computer Simulation, Bangalore
A03277	A03279	NGRI	CSIR, National Geophysical Research Institute, Hyderabad
A03277	A03280	NIO	CSIR, National Institute of Oceanography, Goa
A03277	A03281	NAL	CSIR, National Aerospace Laboratories, Bangalore
A03277	A03282	NCL	CSIR, National Chemical Laboratory, Pune
A03277	A03283	IICB	CSIR, Indian Institute of Chemical Biology, Calcutta
A03277	A03284	NPL	CSIR, National Physical Laboratory, New Delhi
	A03285	DRDO	Defence Research and Development Organisation, India
	A03286	U Hyderabad	University of Hyderabad, India
	A03287	Sri Krishnadevaraya U	Sri Krishnadevaraya University, India
	A03288	Sri Venkateswara U	Sri Venkateswara University, India
	A03289	Dibrugarh U	Dibrugarh University, India
	A03290	Gauhati U	Gauhati University, India
	A03291	IIT Guwahati	Indian Institute of Technology, Guwahati
	A03292	Assam U	Assam University, India
	A03293	Tezpur U	Tezpur University, India
	A03294	Ind Sch Mines	Indian School of Mines
	A03295	Birla Inst Tech	Birla Institute of Technology, Jharkhand
	A03296	GGV Central U	Guru Ghasidas Vishwavidyalaya Central University, India
	A03297	Pandit Ravi Shukla U	Pandit Ravishanka Shukla University, India
	A03298	Barkatullah U	Barkatullah University, India
	A03299	U Delhi	University of Delhi, India
A03299	A03300	Dep Phy Astrop	University of Delhi, Department of Physics and Astrophysics
	A03301	Jawaharlal Nehru U	Jawaharlal Nehru University, New Delhi, India
	A03303	IIT Delhi	Indian Institute of Technology, Delhi, India
	A03304	Indira Gandhi Open U	Indira Gandhi Open University, India
	A03305	Jamia Millia Islamia	Jamia Millia Islamia Central University, India
	A03306	Goa U	Goa University, India
	A03307	Gujarat U	Gujarat University, India
	A03308	St Xaviers Coll Ahmed	Saint Xaviers College, Ahmedabad, India
	A03309	MS U Baroda	Maharaja Sayajirao University of Baroda, India
	A03310	Saurashtra U	Saurashtra University, India
	A03311	Sardar Patel U	Sardar Patel University, India
	A03312	GJUST	Guru Jambheshwar University of Science and Technology, India
	A03313	Kurukshetra U	Kurukshetra University, India
	A03314	NIT Kurukshetra	National Institute of Technology, Kurukshetra, India
	A03315	Himachal Pradesh U	Himachal Pradesh University, India
	A03316	Indian IAS	Indian Institute of Advanced Study
	A03317	U Jammu	University of Jammu, India
	A03318	U Kashmir	University of Kashmir, India
	A03319	Mangalore U	Mangalore University, India
	A03320	Geo Surv IN	Geological Survey of India
	A03321	Bangalore U	Bangalore University, India
	A03322	IISc	Indian Institute of Science, Bangalore
A03322	A03323	Div Phy Sci	Indian Institute of Science, Division of Physical Sciences
	A03324	ISRO	Indian Space Research Organization
A03324	A03325	Sat Ctr	ISRO, Satellite Centre
A03324	A03326	Sp App Ctr	ISRO, Space Applications Centre
A03324	A03327	VSSC	ISRO, Vikram Sarabhai Space Centre
	A03328	JNCASR	Nehru Centre for Advanced Scientific Research, Bangalore, India
	A03329	TIFR	Tata Institute of Fundamental Research, India
A03329	A03330	Natl Ctr RadPhy	TIFR, National Centre for Radiophysics, Pune
A03329	A11536	Ast Grp	TIFR, Astrophysics Group
	A03331	U Mysore	University of Mysore, India
	A03332	U Kerala	University of Kerala, India
	A03333	NCESS	National Centre for Earth Science Studies, India
	A03334	U Calicut	University of Calicut, Kerala, India
	A03335	CUSAT	Cochin University of Science and Technology, India
	A03336	Mahatma Gandhi U	Mahatma Gandhi University, India
	A03337	SCTIMST	Sree Chitra Thirunal Institute for Medical Sciences and Technology, India
	A03338	U Mumbai	University of Mumbai, India
	A03339	Amravati U	Amravati University, India
	A03340	SBS Coll Sci	Saraswati Bhuvan College of Science, Aurangabad, India
	A03341	Shivaji U	Shivaji University, Kolhapur, India
	A03342	SRTMU	Swami Ramanand Teerth Marathwada University, India
	A03345	IIT Mumbai	Indian Institute of Technology, Mumbai, India
	A03346	U Pune	University of Pune, India
	A03347	Manipur U	Manipur University, India
	A03348	North-Estrn Hill U	North-Eastern Hill University, India
	A03349	Devi Ahilya U	Devi Ahilya University, India
	A03350	U Jabalpur	University of Jabalpur, India
	A03351	APS U	Awadhesh Pratash Singh University, India
	A03352	HS Gour U Sagar	Hari Singh Gour University of Sagar, India
	A03353	Utkal U	Utkal University, India
	A03354	Sambalpur U	Sambalpur University, India
	A03355	Ravenshaw U	Ravenshaw University, India
	A03356	NIT Rourkela	National Institute of Technology Rourkela, India
	A03357	Guru Nanak Dev U	Guru Nanak Dev University, India
	A03358	Panjab U	Panjab University, India
	A03359	Punjabi U	Punjabi University, India
	A03360	U Rajasthan	University of Rajasthan, India
	A03361	BITS	Birla Institute of Technology and Science, Rajasthan, India
A03361	A03362	BITS Goa	Birla Institute of Science and Technology, Goa
A03361	A03363	BITS Hyderabad	Birla Institute of Science and Technology, Hyderabad
	A03364	U Udaipur	Mohanlal Sukhadia University, Udaipur, India
